epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,442.248,2.55399,3.48815,1.84697,0.28309,0.16269,0.12431,0.04002,2.43142,4.07751,1.59331,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908
2,831.966,2.49431,2.73631,1.74334,0.24114,0.15746,0.11089,0.03546,2.44548,3.52729,1.58438,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646
3,1202.23,2.62161,2.88494,1.85725,0.17852,0.13511,0.07879,0.02407,2.62555,6.80948,1.78866,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783
4,1566.13,2.67788,2.9837,1.94099,0.24025,0.18345,0.12531,0.04036,2.50415,4.25077,1.75513,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1929.79,2.57163,2.77749,1.87517,0.26536,0.19089,0.14074,0.04557,2.40867,4.04869,1.68883,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2291.81,2.52413,2.65166,1.84139,0.30482,0.21816,0.17732,0.06013,2.44407,3.37672,1.68406,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2654.59,2.45097,2.55892,1.79879,0.30233,0.23892,0.1877,0.06393,2.36364,3.16903,1.67782,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3017.59,2.43385,2.49231,1.77039,0.34269,0.27177,0.22512,0.07654,2.27179,3.35508,1.56655,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3379.67,2.37932,2.43317,1.74974,0.37528,0.28602,0.24627,0.08392,2.27309,3.20797,1.59834,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3742.34,2.35348,2.34731,1.72672,0.39078,0.282,0.25499,0.08981,2.22597,2.72378,1.56581,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4104.53,2.32424,2.31488,1.70269,0.38587,0.31205,0.27772,0.10065,2.22106,2.75863,1.54074,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4466.69,2.30487,2.24571,1.67037,0.42572,0.33158,0.29664,0.1029,2.22206,3.19467,1.54333,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4828.3,2.27073,2.20705,1.66188,0.42762,0.34335,0.30781,0.10818,2.23685,2.83654,1.54994,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5192.86,2.26478,2.17724,1.65199,0.41781,0.34428,0.29515,0.1041,2.18781,2.60224,1.51737,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
