epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,377.365,2.53914,3.21638,1.81842,0.23553,0.08491,0.06616,0.0224,2.53279,3.90021,1.67759,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908
2,712.366,2.51538,2.76394,1.75836,0.13351,0.1128,0.04838,0.01592,2.58082,7.08465,1.7032,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646
3,1030.57,2.65309,2.95137,1.87696,0.16792,0.11652,0.0658,0.02427,2.50131,5.05903,1.69672,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783
4,1343.94,2.70038,3.04376,1.9252,0.17891,0.15246,0.08987,0.02856,2.54511,5.66685,1.69591,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1657.31,2.61418,2.86873,1.87099,0.20651,0.14348,0.09701,0.03445,2.47549,3.66546,1.66125,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1970.4,2.55117,2.71926,1.83208,0.31358,0.22591,0.17801,0.05872,2.41722,3.38007,1.6663,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2283.74,2.4987,2.64753,1.80034,0.28875,0.24217,0.17181,0.05769,2.3964,3.57378,1.62348,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2599.3,2.47318,2.56595,1.7673,0.31669,0.25504,0.19959,0.0686,2.37702,3.39842,1.63505,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2909.05,2.42709,2.49955,1.73446,0.32895,0.26991,0.21761,0.0735,2.29643,3.20739,1.59795,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3219.22,2.39695,2.42194,1.72536,0.39384,0.28014,0.25795,0.09054,2.28162,2.83417,1.58074,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
