epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,374.607,2.21396,2.02855,1.60561,0.53206,0.37651,0.38047,0.13842,2.0854,2.37353,1.47678,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,749.374,2.20138,2.00791,1.58986,0.52003,0.3855,0.38721,0.14383,2.10993,2.34769,1.4682,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1122.73,2.18811,1.97976,1.57967,0.52072,0.3917,0.39291,0.146,2.05761,2.24524,1.42412,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1498.28,2.16466,1.94321,1.56639,0.49632,0.40533,0.39674,0.14784,2.10619,2.28411,1.45573,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1873.36,2.14993,1.9048,1.561,0.54824,0.37899,0.4065,0.15371,2.08233,2.26007,1.45473,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2247.49,2.14991,1.88442,1.55268,0.52361,0.42206,0.41527,0.15468,2.08231,2.2397,1.44653,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2621.92,2.12087,1.86241,1.53128,0.53367,0.40535,0.41607,0.15709,2.07433,2.12095,1.43821,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2997.98,2.11467,1.84579,1.5275,0.52365,0.42175,0.42408,0.1626,2.08906,2.20232,1.45099,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3373.49,2.1026,1.81814,1.51887,0.57447,0.41835,0.44321,0.17047,2.04131,2.15473,1.42692,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3748.19,2.08353,1.77226,1.49587,0.55076,0.45181,0.46237,0.1787,2.06675,1.97641,1.45072,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4123.68,2.07515,1.76089,1.49282,0.54916,0.43823,0.45694,0.17491,2.06293,1.92231,1.44505,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4497.72,2.05709,1.7366,1.48685,0.56684,0.43539,0.45333,0.17779,2.0489,2.00008,1.42717,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,436.379,2.06551,1.80977,1.48922,0.57982,0.43942,0.46054,0.17751,2.00651,1.96957,1.36956,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,877.41,2.07532,1.79328,1.49087,0.55758,0.45801,0.45788,0.17847,2.00878,1.90739,1.3719,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1317.4,2.0573,1.78377,1.48343,0.58041,0.45026,0.47012,0.18654,1.97887,1.93205,1.3582,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1758.08,2.04311,1.76372,1.47737,0.5825,0.44593,0.46789,0.1841,1.99592,1.92399,1.36157,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,440.296,1.892,1.54663,1.40147,0.57699,0.45026,0.4596,0.18325,2.0207,1.91021,1.38399,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,887.565,1.8933,1.52184,1.39673,0.57224,0.47196,0.4766,0.18301,2.02506,1.90957,1.38853,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1332.62,1.87629,1.51541,1.38583,0.58703,0.46948,0.48028,0.18961,2.02142,1.93868,1.38593,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1774.24,1.88625,1.54707,1.39819,0.57583,0.45336,0.46075,0.18968,2.00734,1.86109,1.38453,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2216.81,2.01255,1.6934,1.45048,0.61023,0.46762,0.4913,0.20022,2.00835,1.86639,1.35979,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2658.48,1.99681,1.67707,1.43855,0.61228,0.46832,0.49684,0.2006,2.00185,1.88564,1.35697,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3100.74,1.99973,1.6902,1.43681,0.60172,0.48745,0.51383,0.20495,1.99962,1.8318,1.35844,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3541,1.97714,1.68923,1.43916,0.58028,0.48125,0.4941,0.20166,1.99529,1.81332,1.35923,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3978.58,1.97419,1.65713,1.4326,0.58597,0.46762,0.49007,0.20158,1.99457,1.82108,1.3529,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4417.62,1.95565,1.64029,1.41969,0.59852,0.4859,0.51096,0.2095,1.99003,1.76928,1.35723,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4859.56,1.94899,1.60376,1.40399,0.6122,0.49166,0.50746,0.21137,1.98559,1.79893,1.35599,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5298.67,1.93638,1.58859,1.41061,0.58598,0.48652,0.50286,0.21129,1.98045,1.7626,1.35255,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5737.79,1.93714,1.60102,1.40367,0.61094,0.46824,0.4968,0.20953,1.96504,1.75555,1.35322,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6178.12,1.94958,1.59845,1.41087,0.60592,0.49219,0.51589,0.21604,1.95681,1.77893,1.34501,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6618.29,1.90863,1.55339,1.39188,0.65248,0.46638,0.52199,0.22286,1.96966,1.77423,1.34375,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7057.77,1.91384,1.55227,1.3935,0.61795,0.49923,0.52706,0.22547,1.96631,1.76566,1.34621,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7498.69,1.91077,1.55016,1.38502,0.61814,0.50914,0.5273,0.22397,1.95911,1.76726,1.3442,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7938.77,1.88794,1.51099,1.36762,0.61603,0.51968,0.52354,0.22408,1.96574,1.76737,1.33746,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8379.96,1.88738,1.51907,1.37462,0.58856,0.5361,0.53659,0.23057,1.96575,1.77381,1.34353,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
