epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,368.391,2.5192,3.56614,1.81767,0.28707,0.19399,0.13936,0.04314,2.42595,3.71735,1.56946,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908
2,705.483,2.48114,2.69986,1.73608,0.20484,0.17601,0.1001,0.03032,2.4817,5.05253,1.64203,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646
3,1027.68,2.60832,2.87862,1.86218,0.15686,0.11432,0.06814,0.02082,2.61637,9.08849,1.71052,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783
4,1345.98,2.67691,2.98712,1.9153,0.28414,0.19337,0.15676,0.04967,2.48696,4.82635,1.66472,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1664.05,2.57497,2.78855,1.85647,0.26952,0.21413,0.15087,0.04666,2.38801,3.50423,1.60857,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1983.1,2.50376,2.64829,1.82256,0.30346,0.24419,0.19179,0.06471,2.37507,3.21063,1.64433,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2301.09,2.44851,2.55373,1.7911,0.35518,0.26681,0.23236,0.07743,2.32773,3.44108,1.6182,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2620.22,2.42866,2.49745,1.76509,0.36389,0.25287,0.21274,0.06743,2.35767,3.56218,1.65479,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2939.2,2.37539,2.42028,1.73367,0.37311,0.29129,0.25054,0.08371,2.26227,3.05359,1.55662,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3258.93,2.35131,2.35644,1.72129,0.38567,0.29749,0.26631,0.09253,2.29338,2.91233,1.57506,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3576.51,2.32218,2.31289,1.69269,0.38983,0.32489,0.28772,0.10179,2.20934,2.76268,1.53337,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3894.27,2.30479,2.24904,1.67387,0.43932,0.35637,0.31722,0.11217,2.19914,3.01086,1.52154,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4211.86,2.26602,2.19945,1.66211,0.41676,0.35482,0.30002,0.10106,2.19967,2.77724,1.50551,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4529.34,2.25821,2.19024,1.63597,0.42334,0.35544,0.28918,0.09896,2.18874,2.52229,1.50051,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4847.52,2.23241,2.11969,1.62488,0.44727,0.3604,0.3432,0.12532,2.16667,2.72144,1.49208,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5164.72,2.23463,2.11489,1.61999,0.45405,0.37558,0.3238,0.11017,2.20524,2.59631,1.52397,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
