epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,419.746,2.55082,3.18443,1.84708,0.27191,0.15835,0.12083,0.03867,2.45076,3.62424,1.66267,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908
2,797.005,2.49606,2.75023,1.79526,0.18826,0.14565,0.08885,0.02853,2.524,4.61789,1.67889,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646
3,1154.82,2.62189,2.90754,1.87742,0.18962,0.16114,0.09851,0.03092,2.55312,7.52702,1.74912,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783
4,1512.15,2.68942,3.02544,1.9569,0.2243,0.19647,0.12601,0.03973,2.46688,4.26076,1.76326,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1868.16,2.58279,2.81351,1.892,0.29408,0.2132,0.15783,0.0516,2.44424,3.44547,1.69214,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2219.93,2.5285,2.66373,1.86581,0.30604,0.25318,0.18758,0.06247,2.45051,3.23434,1.7555,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2575.18,2.46594,2.58545,1.81755,0.30662,0.2538,0.19527,0.06667,2.30709,3.61383,1.60699,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2932.16,2.44273,2.51288,1.78054,0.34636,0.26278,0.22211,0.07162,2.32934,3.21555,1.63569,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3283.67,2.38777,2.44857,1.75732,0.37497,0.28571,0.25211,0.08719,2.25886,2.65834,1.56936,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3640.06,2.35908,2.35921,1.73856,0.39281,0.31546,0.28072,0.10078,2.23607,2.74526,1.55265,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3995.7,2.33324,2.32652,1.71973,0.39231,0.30508,0.27785,0.10047,2.21329,2.54185,1.53753,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4347.63,2.30752,2.27034,1.69915,0.4453,0.32569,0.30592,0.10766,2.2045,2.76894,1.54271,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4701.36,2.27352,2.22439,1.6841,0.43348,0.33437,0.2893,0.10003,2.2164,3.11001,1.52278,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5059.59,2.26959,2.20735,1.65948,0.42197,0.34242,0.30393,0.10952,2.19505,2.77497,1.52095,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5417.36,2.23623,2.13865,1.65058,0.43719,0.36493,0.33008,0.11742,2.15554,2.65508,1.52141,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5769.63,2.2438,2.1211,1.63809,0.45906,0.36412,0.34587,0.12033,2.17209,2.66171,1.51288,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6125.84,2.23064,2.10335,1.62798,0.46371,0.36164,0.34459,0.12325,2.18334,2.30994,1.52524,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6482.8,2.20778,2.0541,1.61604,0.48419,0.36195,0.36379,0.13387,2.16891,2.6067,1.49198,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6835.37,2.20712,2.03611,1.60363,0.51394,0.38581,0.37991,0.13368,2.17788,2.53971,1.47553,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7187.78,2.19175,2.0034,1.59653,0.48005,0.37496,0.35375,0.13397,2.16073,2.28031,1.49155,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7545.57,2.16911,1.98743,1.59976,0.50424,0.3855,0.38048,0.14163,2.1496,2.36385,1.46726,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7901.73,2.14291,1.94506,1.57316,0.53677,0.37524,0.38109,0.13964,2.15506,1.9992,1.46332,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8256.91,2.14654,1.92369,1.57511,0.5036,0.40595,0.38868,0.14486,2.13983,2.40644,1.45756,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8607.7,2.12775,1.9111,1.5573,0.53665,0.39944,0.39855,0.15035,2.10541,2.35053,1.45666,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8960.02,2.11518,1.87153,1.54686,0.51161,0.43198,0.41531,0.1559,2.1636,2.20355,1.47496,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9311.29,2.08974,1.8597,1.54121,0.55889,0.41153,0.42487,0.16161,2.11516,2.10153,1.46019,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9662.98,2.085,1.81067,1.5319,0.54663,0.42857,0.43339,0.16245,2.12533,2.17116,1.46169,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,10013.6,2.07787,1.79743,1.5123,0.54727,0.41277,0.41604,0.15823,2.10036,2.16662,1.44245,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,10364.2,2.05462,1.78945,1.50586,0.51469,0.43074,0.40787,0.15555,2.07156,2.0417,1.43319,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10714.7,2.0436,1.76318,1.51142,0.53408,0.43911,0.42854,0.16489,2.10265,2.14501,1.45142,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,11065.5,2.04581,1.74348,1.49067,0.56993,0.43632,0.4434,0.17012,2.09572,2.01026,1.43623,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,11415.9,2.02139,1.69819,1.47801,0.55419,0.45553,0.45731,0.17748,2.09037,1.98867,1.4307,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11766.4,2.0129,1.69591,1.46781,0.58174,0.43756,0.45914,0.17855,2.07529,1.91944,1.40133,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12116,1.99839,1.66872,1.45809,0.57612,0.47089,0.46191,0.18271,2.05039,1.9882,1.40653,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12467.4,1.97969,1.65676,1.46108,0.55028,0.48125,0.47161,0.18721,2.06951,2.06145,1.43074,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12818.8,1.97124,1.63979,1.44548,0.58492,0.4655,0.47108,0.18759,2.04687,2.00348,1.40297,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13168.9,1.97188,1.61204,1.4548,0.60325,0.49024,0.49096,0.1933,2.08534,1.98149,1.4333,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13518.5,1.96868,1.61018,1.45496,0.63307,0.48599,0.50911,0.20255,2.05976,1.92418,1.43068,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13866.6,1.95159,1.58765,1.44426,0.59612,0.48869,0.49376,0.20424,2.04678,1.9156,1.41311,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14216.7,1.94042,1.58764,1.43475,0.60708,0.48466,0.50408,0.20374,2.04827,2.01769,1.40707,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14564.8,1.92306,1.56435,1.42434,0.65633,0.47474,0.50953,0.20913,2.03542,1.91166,1.39043,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14915.1,1.91241,1.55197,1.41348,0.60429,0.50445,0.50935,0.20656,2.01467,1.87448,1.39729,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15263.8,1.89799,1.51563,1.40541,0.59639,0.53083,0.5107,0.20624,2.01532,1.86777,1.39106,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15615.1,1.89415,1.50862,1.4066,0.62991,0.51425,0.53382,0.22164,2.04776,1.90415,1.40592,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15965.5,1.87181,1.47785,1.39078,0.61565,0.52247,0.5278,0.22158,2.06583,1.89242,1.41558,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16314.9,1.86559,1.47891,1.39476,0.62596,0.52557,0.53742,0.22495,2.0464,1.85841,1.41132,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16664.7,1.86272,1.45328,1.38008,0.64794,0.51785,0.54422,0.22353,2.02076,1.81758,1.40207,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17014.7,1.8452,1.44549,1.37793,0.65593,0.51844,0.55154,0.22776,2.00161,1.79036,1.38993,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17365.2,1.85039,1.43595,1.37302,0.66056,0.51379,0.5489,0.22871,2.01278,1.82991,1.38949,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17715.8,1.83233,1.4052,1.36774,0.61862,0.53532,0.54544,0.23317,2.0032,1.86177,1.3884,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18067,1.81499,1.41742,1.36064,0.65139,0.53331,0.55935,0.24027,1.98416,1.84733,1.38155,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18419.2,1.80768,1.38451,1.34593,0.65634,0.53579,0.5629,0.24026,1.98845,1.85093,1.38043,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,18769.4,1.78175,1.36643,1.34019,0.62624,0.55609,0.56373,0.2416,1.98512,1.84678,1.38206,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19123.7,1.77988,1.35427,1.32764,0.63816,0.54974,0.56371,0.244,1.98183,1.82991,1.37696,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19476.2,1.7699,1.35283,1.32964,0.65501,0.53716,0.57165,0.2473,1.98539,1.86562,1.37809,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,19832.6,1.77278,1.34649,1.32655,0.6688,0.54252,0.5702,0.24551,1.98148,1.85545,1.3789,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20182.7,1.75208,1.31891,1.32148,0.66394,0.54509,0.56698,0.2476,1.98685,1.85732,1.38599,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,20534.3,1.74488,1.31851,1.31945,0.65383,0.55661,0.57675,0.25527,1.98729,1.81884,1.38287,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,20889.4,1.73555,1.3059,1.30829,0.6548,0.55624,0.57858,0.25721,1.9717,1.80108,1.37814,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21240.1,1.71295,1.28042,1.30548,0.68543,0.53477,0.57484,0.25944,1.9645,1.79988,1.37706,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,21591.9,1.71059,1.27624,1.29918,0.67057,0.54942,0.57613,0.26197,1.96027,1.7838,1.3797,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,21946.5,1.70108,1.25694,1.29106,0.67606,0.54326,0.57325,0.2602,1.96384,1.79941,1.38603,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,22296.9,1.68395,1.24418,1.28348,0.6769,0.54924,0.57619,0.26286,1.96681,1.79303,1.38803,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,22650.3,1.69015,1.22951,1.27796,0.66928,0.55687,0.57394,0.26295,1.96852,1.7944,1.3837,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,23005.6,1.67589,1.22692,1.27999,0.68614,0.544,0.58306,0.26661,1.96328,1.78622,1.38573,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23359.7,1.66706,1.21817,1.27842,0.68712,0.55191,0.58738,0.2679,1.963,1.77904,1.38512,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,23710.6,1.65099,1.20209,1.26459,0.69179,0.55191,0.58642,0.26911,1.96718,1.77073,1.38763,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,24063.8,1.64157,1.17855,1.25683,0.70079,0.55015,0.58747,0.27073,1.95828,1.76456,1.3819,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24420,1.63062,1.17743,1.2526,0.69017,0.55284,0.58844,0.27132,1.95598,1.75457,1.38122,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,24777.3,1.63321,1.17459,1.25446,0.70526,0.54872,0.58746,0.27109,1.9496,1.75109,1.37803,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25127.4,1.60893,1.15229,1.24407,0.70605,0.55438,0.5953,0.2739,1.94684,1.75034,1.37758,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,25482.3,1.60869,1.13725,1.2293,0.70691,0.55841,0.59761,0.2768,1.94502,1.74843,1.37506,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,25836.4,1.60115,1.1388,1.23343,0.71546,0.55067,0.59701,0.27722,1.94709,1.73499,1.37549,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
