epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,312.237,2.55124,3.68288,1.85128,0.2667,0.1692,0.12399,0.04039,2.45217,6.17748,1.62638,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908,0.00998724,0.00332908
2,585.393,2.50542,2.748,1.77673,0.1972,0.14069,0.08957,0.02941,2.54911,4.0035,1.75756,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646,0.0197894,0.00659646
3,845.667,2.64241,2.94933,1.8957,0.15733,0.11001,0.05643,0.01759,2.66633,5.22404,1.88165,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783,0.0293935,0.00979783
4,1100.46,2.69701,3.03537,1.92771,0.18833,0.16083,0.08962,0.02858,2.54323,6.16296,1.77411,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1355.53,2.59338,2.84327,1.89445,0.28766,0.18221,0.13114,0.03981,2.49589,3.6627,1.72649,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1610.53,2.52665,2.68478,1.84362,0.29501,0.23768,0.17805,0.05855,2.38926,4.15371,1.67136,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1865.43,2.47307,2.62334,1.81504,0.3184,0.25968,0.2047,0.06747,2.37335,4.00669,1.68729,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2119.15,2.4415,2.52265,1.79758,0.32458,0.27828,0.22084,0.06906,2.30169,3.84177,1.60593,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2373.2,2.4103,2.47333,1.76927,0.34407,0.26774,0.22248,0.07191,2.33722,2.90799,1.63131,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2628.51,2.38212,2.41005,1.75982,0.37101,0.31348,0.25982,0.08993,2.23387,3.19857,1.58309,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2883.42,2.35903,2.36265,1.72637,0.38813,0.31137,0.27155,0.09469,2.21208,3.03555,1.55033,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3138.48,2.33672,2.33965,1.71668,0.36767,0.32321,0.27871,0.0967,2.21956,3.39735,1.54652,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3392.35,2.30834,2.27163,1.69212,0.4125,0.35389,0.30208,0.10226,2.24835,2.83808,1.53816,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3645.45,2.27646,2.24616,1.68338,0.4362,0.30928,0.29356,0.10182,2.22223,2.65234,1.55404,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3899.61,2.27263,2.21367,1.67066,0.4416,0.3355,0.31198,0.10998,2.19475,2.55356,1.5315,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4155.49,2.25421,2.16865,1.65647,0.47233,0.33561,0.32693,0.11719,2.20928,2.78161,1.52072,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4409.38,2.24131,2.13525,1.63778,0.47191,0.3636,0.34333,0.12044,2.17063,2.37338,1.50613,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4664.67,2.22311,2.0976,1.62048,0.472,0.35048,0.33564,0.11898,2.19865,2.88059,1.50261,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4924.28,2.22157,2.07173,1.62086,0.44918,0.36783,0.33798,0.11969,2.18875,2.61121,1.51205,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5183.85,2.19732,2.07264,1.62206,0.48667,0.37371,0.36682,0.13359,2.12879,2.34743,1.46305,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5442.51,2.18681,2.03667,1.60976,0.45422,0.37833,0.35496,0.13127,2.15163,2.35346,1.49324,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5703.31,2.17422,1.99944,1.58596,0.51844,0.38612,0.3729,0.13432,2.14859,2.24799,1.49122,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5963.64,2.17506,1.98565,1.58971,0.5253,0.36752,0.3838,0.1389,2.11628,2.30615,1.46659,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6224.05,2.14501,1.9439,1.56926,0.48776,0.39758,0.37983,0.13836,2.12085,2.17714,1.46708,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6484.19,2.13128,1.9354,1.56622,0.4944,0.3906,0.38342,0.14213,2.12295,2.60347,1.47137,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6743.91,2.1321,1.91995,1.56509,0.52762,0.38271,0.38673,0.13909,2.13228,2.28207,1.47325,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7003.9,2.11634,1.88622,1.54102,0.54162,0.42454,0.41433,0.15459,2.09776,2.30735,1.43727,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7262.95,2.10483,1.88661,1.5398,0.50954,0.42485,0.40659,0.15353,2.09599,2.24375,1.43393,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7521.69,2.0923,1.84699,1.5358,0.51149,0.43291,0.40686,0.15883,2.10704,2.13875,1.44252,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7780.25,2.07747,1.82097,1.52152,0.55124,0.43849,0.42123,0.15665,2.10816,2.11245,1.46342,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8039.03,2.07511,1.81302,1.53497,0.55127,0.42392,0.43293,0.16307,2.07514,2.01785,1.43564,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8297.76,2.05646,1.75506,1.50948,0.5485,0.44128,0.45013,0.17327,2.06246,2.02162,1.43068,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8557.87,2.03403,1.76342,1.50269,0.57056,0.44469,0.45461,0.17111,2.08051,2.04553,1.44574,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8817.01,2.0449,1.74431,1.50686,0.59399,0.42857,0.4586,0.17811,2.08274,1.947,1.43798,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9076.36,2.01987,1.7399,1.50671,0.56205,0.46371,0.46857,0.18021,2.07758,2.00358,1.43662,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9336.68,2.00132,1.70057,1.48359,0.56219,0.46142,0.47152,0.18201,2.08132,2.02164,1.43167,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9595.7,2.01291,1.69985,1.46751,0.5599,0.46762,0.47465,0.18553,2.0493,1.97508,1.41246,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9855.4,1.99462,1.67678,1.47075,0.58846,0.46607,0.47709,0.19118,2.03558,1.91312,1.41637,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10115,1.98927,1.6638,1.46724,0.57063,0.47196,0.47968,0.19051,2.05411,2.00582,1.424,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10374.2,1.97021,1.63987,1.45514,0.58556,0.48161,0.49405,0.19687,2.03335,1.98813,1.41792,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10633,1.9777,1.62893,1.44813,0.60105,0.4766,0.49993,0.20007,2.05939,2.06478,1.41459,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10892.7,1.961,1.60948,1.43456,0.59855,0.48282,0.50619,0.20209,2.04316,1.9546,1.39591,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11151.7,1.9637,1.60624,1.43049,0.58836,0.48898,0.50043,0.20529,2.04852,1.93362,1.40186,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11410.1,1.93577,1.57283,1.4266,0.60214,0.48838,0.50197,0.20779,2.03598,1.96144,1.3957,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11669.4,1.93025,1.57206,1.42716,0.60796,0.50852,0.50789,0.20796,2.04093,2.01283,1.40784,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11927.9,1.90981,1.56975,1.41801,0.60284,0.52154,0.51949,0.21287,2.03118,1.95233,1.40131,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12187.2,1.91194,1.52926,1.40565,0.6058,0.50542,0.52163,0.21569,2.01924,1.919,1.38885,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
