epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83823,1.95541,1.28908,1.0314,0.36152,0.30374,0.23882,0.0917,2.46716,2.06549,1.32111,6e-05,6e-05,6e-05
2,7.82287,1.71659,1.17277,0.99041,0.3617,0.31308,0.24924,0.09844,2.4842,2.05495,1.33045,0.000137228,0.000137228,0.000137228
3,12.5693,1.84529,1.14467,1.00542,0.35994,0.31308,0.25138,0.0966,2.48684,2.07721,1.33684,0.000211288,0.000211288,0.000211288
4,17.0013,1.5849,1.02423,0.96853,0.55819,0.2243,0.24288,0.09656,2.4866,2.11439,1.33355,0.00028218,0.00028218,0.00028218
5,20.7262,2.11832,1.2975,1.06186,0.51047,0.2243,0.23497,0.0942,2.49645,2.1659,1.33783,0.000349904,0.000349904,0.000349904
6,24.9637,1.7038,1.04438,0.93312,0.50011,0.24299,0.24127,0.09424,2.49491,2.21813,1.32377,0.00041446,0.00041446,0.00041446
7,28.8349,1.40193,1.00989,0.98809,0.47686,0.22897,0.23248,0.0939,2.47107,2.23505,1.29694,0.000475848,0.000475848,0.000475848
8,32.8134,1.63484,0.99153,0.92375,0.39114,0.23832,0.22674,0.09374,2.44274,2.24135,1.27218,0.000534068,0.000534068,0.000534068
9,36.5537,1.69667,1.0433,0.96712,0.4693,0.2243,0.22896,0.09421,2.4548,2.23112,1.26085,0.00058912,0.00058912,0.00058912
10,40.2942,1.51067,0.91758,0.89278,0.32311,0.27103,0.22375,0.09052,2.51884,2.25723,1.2878,0.000641004,0.000641004,0.000641004
11,43.9069,1.86015,1.22917,0.90464,0.34738,0.22897,0.22263,0.0865,2.55189,2.29341,1.30224,0.00068972,0.00068972,0.00068972
12,47.6023,1.58402,0.9005,0.96834,0.33502,0.25701,0.22939,0.09077,2.64415,2.32387,1.36947,0.000735268,0.000735268,0.000735268
13,51.4906,1.67021,0.99657,0.99685,0.32139,0.27103,0.24243,0.09064,2.64425,2.27912,1.38163,0.000777648,0.000777648,0.000777648
14,55.3745,1.39513,0.82299,0.93468,0.33604,0.28037,0.24879,0.09236,2.64076,2.24655,1.38119,0.00081686,0.00081686,0.00081686
15,59.1572,1.63728,1.07032,0.9484,0.37591,0.26168,0.22865,0.09107,2.6109,2.26454,1.38308,0.000852904,0.000852904,0.000852904
16,62.8998,1.60347,0.85818,0.95491,0.37651,0.24268,0.22647,0.09063,2.60032,2.29912,1.37371,0.00088578,0.00088578,0.00088578
17,66.5613,1.47055,0.76912,0.90697,0.39852,0.25234,0.23882,0.08978,2.56196,2.25026,1.35171,0.000915488,0.000915488,0.000915488
