epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,394.857,2.42206,1.89505,1.12566,0.4518,0.355,0.34525,0.12637,2.3597,1.70653,1.20174,0.00264355,0.00264355,0.0196435
1,17.3415,3.23983,2.89361,1.42256,0.26837,0.195,0.13832,0.0404,2.87657,2.44276,1.45004,0.0003,0.0003,0.0943
2,32.7166,2.88324,2.79106,1.42781,0.44454,0.21,0.20133,0.05659,2.75405,2.22843,1.38234,0.00062855,0.00062855,0.0876285
13,429.072,2.01926,1.58105,1.15586,0.43665,0.39,0.34434,0.13205,2.33007,1.70274,1.18596,0.002718,0.002718,0.012718
3,47.7384,2.87164,2.61502,1.22794,0.32491,0.29,0.23328,0.07046,2.7081,2.07503,1.3491,0.000934,0.000934,0.080934
4,62.912,2.60702,2.21223,1.37539,0.43335,0.315,0.29066,0.09089,2.56529,1.96922,1.30286,0.00121635,0.00121635,0.0742164
5,78.2489,2.61186,2.3484,1.16585,0.42078,0.32691,0.3013,0.10169,2.49625,1.91134,1.2739,0.0014756,0.0014756,0.0674756
14,463.247,1.88411,1.56031,1.01671,0.43665,0.39,0.34434,0.13205,2.33007,1.70274,1.18596,0.00276935,0.00276935,0.00576935
6,93.548,2.46248,2.28864,1.17392,0.43809,0.32,0.30149,0.10216,2.47121,1.85334,1.25532,0.00171175,0.00171175,0.0607118
7,108.902,2.56174,1.99683,1.2253,0.44333,0.32254,0.29557,0.09899,2.5133,1.84857,1.26058,0.0019248,0.0019248,0.0539248
15,497.012,2.06822,1.66661,1.17033,0.44554,0.395,0.34945,0.14098,2.29335,1.68083,1.17342,0.00269,0.00269,0.00269
8,124.194,2.27397,1.80138,1.13489,0.46825,0.32,0.30731,0.11041,2.42936,1.80094,1.23767,0.00211475,0.00211475,0.0471148
9,139.046,2.61554,2.07747,1.21342,0.46743,0.32474,0.31812,0.11902,2.41678,1.77991,1.23522,0.0022816,0.0022816,0.0402816
16,534.4,2.12847,1.46205,1.10144,0.46392,0.39,0.35284,0.14866,2.25551,1.66623,1.16658,0.002525,0.002525,0.002525
10,156.261,2.26274,1.83907,1.15996,0.451,0.33,0.32364,0.12394,2.40002,1.74834,1.22749,0.00242535,0.00242535,0.0334254
