epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.8819,2.07562,1.58338,1.10914,0.46028,0.53,0.42174,0.18546,2.05099,1.65685,1.10406,6e-05,6e-05,0.09406
2,21.1558,2.0398,1.60278,1.17928,0.49232,0.53821,0.42504,0.19654,1.98535,1.61099,1.09517,0.000127426,0.000127426,0.0871274
3,32.9578,1.82109,1.38891,1.05494,0.4854,0.52,0.42044,0.19435,1.98199,1.59713,1.09344,0.00019208,0.00019208,0.0801921
4,45.865,2.03214,2.21714,0.93904,0.50685,0.53,0.42092,0.18543,2.01126,1.5941,1.10061,0.000253962,0.000253962,0.073254
5,57.6262,2.08173,1.46605,1.02011,0.47666,0.52,0.41841,0.19234,1.9731,1.59247,1.09517,0.000313072,0.000313072,0.0663131
6,70.0661,2.11879,1.43076,0.98847,0.48871,0.515,0.41641,0.19113,1.99245,1.60273,1.09795,0.00036941,0.00036941,0.0593694
7,81.9885,2.19672,1.7899,1.03492,0.48144,0.52,0.4181,0.18713,2.01229,1.60622,1.101,0.000422976,0.000422976,0.052423
8,102.009,2.19655,1.63388,1.05562,0.48691,0.5172,0.42164,0.19469,1.98918,1.60807,1.09554,0.00047377,0.00047377,0.0454738
9,134.812,1.93992,1.58894,1.06891,0.50906,0.495,0.42125,0.19777,1.96959,1.60467,1.09183,0.000521792,0.000521792,0.0385218
10,167.828,1.75253,2.76601,0.85397,0.51253,0.5,0.42219,0.19954,1.96709,1.60234,1.09125,0.000567042,0.000567042,0.031567
11,202.48,1.98055,1.39837,1.0587,0.5143,0.50827,0.41418,0.1955,1.98145,1.61122,1.09162,0.00060952,0.00060952,0.0246095
12,238.296,1.75089,1.4602,1.04644,0.51784,0.51015,0.41416,0.19439,1.98892,1.61003,1.09022,0.000649226,0.000649226,0.0176492
13,274.625,2.02657,1.48353,1.08199,0.51705,0.50854,0.41994,0.20074,1.97907,1.60538,1.08772,0.00068616,0.00068616,0.0106862
14,309.244,1.84396,1.31875,0.9748,0.51705,0.50854,0.41994,0.20074,1.97907,1.60538,1.08772,0.000720322,0.000720322,0.00372032
15,339.772,1.50246,1.45541,0.87128,0.51803,0.49,0.422,0.20196,1.97837,1.60315,1.08789,0.0007228,0.0007228,0.0007228
16,372.17,1.74866,1.16233,1.04172,0.52479,0.485,0.42289,0.20186,1.98177,1.60103,1.08691,0.000703,0.000703,0.000703
17,408.258,1.92243,1.51061,1.07605,0.5364,0.495,0.42879,0.2053,1.9792,1.59866,1.0876,0.0006832,0.0006832,0.0006832
18,439.16,1.82478,1.38671,0.98986,0.53295,0.49068,0.43005,0.20357,1.98057,1.60012,1.08781,0.0006634,0.0006634,0.0006634
19,473.289,1.57184,1.20489,0.98376,0.52854,0.48,0.42423,0.20292,1.98015,1.5964,1.08671,0.0006436,0.0006436,0.0006436
20,508.326,1.73895,1.28696,1.03723,0.54103,0.475,0.4307,0.20244,1.98631,1.59106,1.08723,0.0006238,0.0006238,0.0006238
21,544.067,1.78838,1.28186,0.96904,0.55511,0.46792,0.43451,0.20273,1.99083,1.58668,1.08816,0.000604,0.000604,0.000604
22,579.549,1.7134,1.33363,1.05351,0.55511,0.46792,0.43451,0.20273,1.99083,1.58668,1.08816,0.0005842,0.0005842,0.0005842
23,610.24,1.8074,1.33801,1.00762,0.53765,0.475,0.43364,0.20258,1.99739,1.5844,1.09001,0.0005644,0.0005644,0.0005644
24,642.999,1.95182,1.30561,1.05978,0.53686,0.49266,0.43545,0.20148,1.99609,1.58225,1.08789,0.0005446,0.0005446,0.0005446
25,679.204,1.58274,1.32622,0.95254,0.54519,0.49,0.43648,0.20314,2.00406,1.57996,1.08907,0.0005248,0.0005248,0.0005248
26,710.418,1.65753,1.23533,1.0485,0.53945,0.49196,0.44195,0.20285,2.01546,1.57921,1.09296,0.000505,0.000505,0.000505
27,746.227,1.77848,1.22962,0.96546,0.53631,0.5,0.44407,0.20659,2.01045,1.57293,1.09214,0.0004852,0.0004852,0.0004852
28,780.458,1.76446,1.51821,1.01899,0.53473,0.495,0.43983,0.20627,1.99248,1.57577,1.08701,0.0004654,0.0004654,0.0004654
29,815.401,1.78352,1.46864,1.08015,0.54659,0.495,0.44246,0.20794,1.98339,1.57482,1.08509,0.0004456,0.0004456,0.0004456
30,852.331,1.80182,1.31235,0.95524,0.54659,0.495,0.44246,0.20794,1.98339,1.57482,1.08509,0.0004258,0.0004258,0.0004258
31,882.936,1.80287,1.36787,0.94931,0.53638,0.49,0.4433,0.20959,1.98306,1.57227,1.08654,0.000406,0.000406,0.000406
32,915.541,1.71965,1.29374,0.9848,0.55397,0.5,0.45067,0.21288,1.97553,1.57382,1.08637,0.0003862,0.0003862,0.0003862
33,951.625,1.80648,1.45098,0.9611,0.54961,0.505,0.45097,0.21307,1.97573,1.57589,1.08827,0.0003664,0.0003664,0.0003664
34,983.162,1.87857,1.24998,0.99483,0.55103,0.5,0.45194,0.21548,1.97303,1.57272,1.0877,0.0003466,0.0003466,0.0003466
35,1018.41,1.85524,1.2097,1.00423,0.5545,0.5041,0.45238,0.21577,1.97714,1.57212,1.08815,0.0003268,0.0003268,0.0003268
36,1052.54,1.75578,1.18156,0.97121,0.55826,0.48657,0.45268,0.21682,1.96418,1.57065,1.08414,0.000307,0.000307,0.000307
37,1089.01,1.77494,1.19099,1.01707,0.56085,0.47893,0.45165,0.21667,1.96588,1.57204,1.08551,0.0002872,0.0002872,0.0002872
38,1124.39,1.91017,1.50526,1.01302,0.56085,0.47893,0.45165,0.21667,1.96588,1.57204,1.08551,0.0002674,0.0002674,0.0002674
39,1154.94,1.67937,1.30474,0.98008,0.54364,0.50033,0.45052,0.21639,1.9675,1.572,1.08457,0.0002476,0.0002476,0.0002476
40,1187.34,1.80761,1.25812,0.93655,0.53436,0.51,0.45333,0.2174,1.96221,1.57254,1.08312,0.0002278,0.0002278,0.0002278
41,1222.91,1.68069,1.58516,1.03829,0.5338,0.505,0.45548,0.21638,1.97904,1.5735,1.08753,0.000208,0.000208,0.000208
42,1254.03,1.97154,1.60851,1.16797,0.52048,0.54,0.45965,0.21432,1.99133,1.57455,1.09017,0.0001882,0.0001882,0.0001882
43,1289.72,1.66179,1.5761,0.94232,0.51931,0.52398,0.45521,0.21162,2.02114,1.58847,1.09451,0.0001684,0.0001684,0.0001684
44,1324.36,1.78534,1.38786,1.00418,0.52954,0.535,0.45647,0.21043,2.03121,1.59118,1.09814,0.0001486,0.0001486,0.0001486
45,1358.59,1.76017,1.55809,1.10701,0.50969,0.55,0.45359,0.20765,2.05108,1.60487,1.10562,0.0001288,0.0001288,0.0001288
46,1393.53,1.71483,1.23535,1.07874,0.50969,0.55,0.45359,0.20765,2.05108,1.60487,1.10562,0.000109,0.000109,0.000109
47,1426.08,1.70131,1.18269,1.08572,0.51114,0.52,0.45482,0.20708,2.06159,1.61304,1.10846,8.92e-05,8.92e-05,8.92e-05
48,1458.48,1.70384,1.45322,1.00902,0.51762,0.52044,0.45615,0.20489,2.07133,1.61341,1.11186,6.94e-05,6.94e-05,6.94e-05
49,1494.27,1.6564,1.26033,1.01284,0.51488,0.53,0.45431,0.2032,2.0755,1.62393,1.11447,4.96e-05,4.96e-05,4.96e-05
50,1528.07,1.65201,1.24557,1.02608,0.51083,0.515,0.45447,0.20247,2.07943,1.62562,1.11454,2.98e-05,2.98e-05,2.98e-05
