epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82851,2.98706,2.67202,1.31815,0.45344,0.215,0.20384,0.05546,2.78492,2.28438,1.35959,0.0003,0.0003,0.0943
2,9.09566,2.72808,2.52628,1.27602,0.41655,0.27844,0.25118,0.07601,2.62349,2.08256,1.30698,0.00062855,0.00062855,0.0876285
3,13.3279,2.79714,2.42136,1.18132,0.40532,0.32376,0.26447,0.08657,2.54145,1.94581,1.27726,0.000934,0.000934,0.080934
4,17.5279,2.54311,2.08293,1.31639,0.47626,0.35,0.33565,0.11168,2.4354,1.84632,1.24642,0.00121635,0.00121635,0.0742164
5,21.7301,2.58498,1.96677,1.22533,0.4901,0.385,0.35005,0.1284,2.36546,1.78953,1.21386,0.0014756,0.0014756,0.0674756
6,25.9696,2.37753,2.01759,1.17379,0.48552,0.4,0.37278,0.14141,2.31237,1.73603,1.19587,0.00171175,0.00171175,0.0607118
7,30.208,2.44465,1.85982,1.2104,0.48024,0.4,0.37733,0.14213,2.29259,1.73078,1.18799,0.0019248,0.0019248,0.0539248
8,34.4514,2.1082,1.84197,1.09816,0.48866,0.43005,0.38621,0.15295,2.2165,1.68413,1.16202,0.00211475,0.00211475,0.0471148
9,38.7148,2.35245,1.76258,1.1215,0.50036,0.44064,0.4024,0.16088,2.18671,1.66347,1.15173,0.0022816,0.0022816,0.0402816
10,43.0091,2.19539,1.95441,1.13702,0.49629,0.435,0.40369,0.1717,2.14784,1.65251,1.13249,0.00242535,0.00242535,0.0334254
11,47.2749,2.00687,1.6964,1.04455,0.49453,0.44,0.40245,0.17381,2.10257,1.64038,1.12428,0.002546,0.002546,0.026546
12,51.5289,2.23079,1.75974,1.119,0.47585,0.495,0.41201,0.16812,2.11357,1.63853,1.1209,0.00264355,0.00264355,0.0196435
13,55.7784,1.97531,1.49808,1.14627,0.47324,0.495,0.41186,0.17645,2.07454,1.62446,1.11094,0.002718,0.002718,0.012718
14,60.09,1.94224,1.54245,1.04589,0.47324,0.495,0.41186,0.17645,2.07454,1.62446,1.11094,0.00276935,0.00276935,0.00576935
15,64.376,1.87886,1.66604,1.08247,0.44177,0.505,0.41395,0.18814,2.03471,1.6142,1.10533,0.00269,0.00269,0.00269
16,68.6895,2.02893,1.42758,1.17106,0.46632,0.505,0.41644,0.19172,2.00785,1.60518,1.10139,0.002525,0.002525,0.002525
17,73.0655,1.94028,1.59278,1.14676,0.46746,0.51,0.42207,0.19832,1.97681,1.59644,1.10091,0.00236,0.00236,0.00236
18,77.5515,1.92052,1.59901,0.99217,0.46487,0.5,0.41428,0.1973,1.97144,1.59032,1.10153,0.002195,0.002195,0.002195
19,81.9415,1.68206,1.58902,0.99779,0.47162,0.52,0.41793,0.19398,1.98577,1.58662,1.10154,0.00203,0.00203,0.00203
20,86.3595,2.03256,1.50362,0.96594,0.47895,0.52,0.41813,0.19586,1.97637,1.57888,1.09891,0.001865,0.001865,0.001865
21,90.6207,1.74254,1.32397,1.06441,0.47643,0.50048,0.41402,0.19467,1.96526,1.57832,1.09271,0.0017,0.0017,0.0017
22,94.807,1.6291,1.31768,0.99451,0.47643,0.50048,0.41402,0.19467,1.96526,1.57832,1.09271,0.001535,0.001535,0.001535
23,98.9812,1.75391,1.50103,1.03567,0.48234,0.51714,0.41563,0.19519,1.96251,1.57471,1.08836,0.00137,0.00137,0.00137
24,103.299,1.88233,1.51135,0.982,0.48853,0.5,0.41505,0.19454,1.96287,1.57039,1.0856,0.001205,0.001205,0.001205
25,107.62,1.68717,1.25227,1.05373,0.46813,0.4973,0.40911,0.19198,1.96058,1.56607,1.08202,0.00104,0.00104,0.00104
26,111.847,1.75011,1.38776,1.01499,0.46424,0.50259,0.41125,0.19109,1.95274,1.56396,1.08068,0.000875,0.000875,0.000875
27,116.043,1.8075,1.28073,1.00804,0.46557,0.51,0.41258,0.19127,1.9489,1.5629,1.0802,0.00071,0.00071,0.00071
