epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.865,1.76113,1.29762,1.04069,0.59771,0.4466,0.46471,0.23311,1.81973,1.53828,1.0792,0.000325,0.000325,0.067825
2,41.4616,1.84957,1.28908,1.01146,0.59293,0.45466,0.47317,0.25195,1.77235,1.55357,1.08069,0.000645298,0.000645298,0.034812
3,62.1513,1.7714,1.26097,1.02827,0.57821,0.45087,0.46474,0.2527,1.77471,1.52646,1.07945,0.000952397,0.000952397,0.00178573
4,82.4702,1.79523,1.28917,1.01219,0.59542,0.45665,0.47003,0.25175,1.77611,1.50896,1.0795,0.0009406,0.0009406,0.0009406
5,102.823,1.76077,1.25024,1.00402,0.60731,0.46487,0.47878,0.26031,1.76531,1.49684,1.0775,0.0009208,0.0009208,0.0009208
6,123.257,1.7578,1.24045,0.99417,0.61567,0.45665,0.4795,0.25921,1.75501,1.48075,1.07765,0.000901,0.000901,0.000901
7,143.865,1.67537,1.15537,0.99508,0.63074,0.45665,0.50473,0.26174,1.74895,1.47055,1.07798,0.0008812,0.0008812,0.0008812
8,164.396,1.79465,1.27187,0.98553,0.65623,0.44137,0.50595,0.27457,1.74077,1.45929,1.07831,0.0008614,0.0008614,0.0008614
9,184.887,1.71528,1.21042,0.9864,0.64413,0.45665,0.51806,0.27173,1.75622,1.45695,1.08147,0.0008416,0.0008416,0.0008416
10,205.482,1.82025,1.2007,0.98178,0.61983,0.46179,0.51539,0.27318,1.75656,1.44606,1.07873,0.0008218,0.0008218,0.0008218
11,226.025,1.76333,1.21726,0.99513,0.63387,0.45087,0.5128,0.27198,1.75248,1.44833,1.07448,0.000802,0.000802,0.000802
12,246.546,1.70551,1.16119,0.97228,0.62419,0.45123,0.51073,0.27718,1.7558,1.4491,1.07304,0.0007822,0.0007822,0.0007822
13,268.318,1.7239,1.14401,0.97071,0.61874,0.4409,0.50882,0.27318,1.74266,1.45063,1.06481,0.0007624,0.0007624,0.0007624
14,289.594,1.68114,1.13975,0.97,0.63148,0.45665,0.50764,0.26966,1.74412,1.42937,1.07222,0.0007426,0.0007426,0.0007426
15,310.46,1.69207,1.13953,0.97902,0.58215,0.4832,0.50345,0.27217,1.74191,1.42982,1.07237,0.0007228,0.0007228,0.0007228
16,331.204,1.66091,1.11471,0.97778,0.62038,0.46243,0.51721,0.2781,1.74982,1.43658,1.07355,0.000703,0.000703,0.000703
17,351.839,1.71238,1.15656,0.9824,0.60892,0.45665,0.50756,0.27358,1.74886,1.44292,1.07555,0.0006832,0.0006832,0.0006832
18,372.487,1.72436,1.1565,0.99346,0.61679,0.47399,0.51478,0.27154,1.74459,1.42598,1.07273,0.0006634,0.0006634,0.0006634
19,393.319,1.66595,1.12496,0.97674,0.61599,0.46243,0.50953,0.26822,1.76558,1.45348,1.07534,0.0006436,0.0006436,0.0006436
20,413.974,1.71418,1.11005,0.96574,0.61096,0.45665,0.51812,0.27643,1.74856,1.4343,1.07382,0.0006238,0.0006238,0.0006238
21,434.499,1.62272,1.08758,0.96273,0.62186,0.4753,0.51899,0.27517,1.73672,1.4149,1.07382,0.000604,0.000604,0.000604
22,455.217,1.62708,1.18147,0.98666,0.64089,0.47454,0.52192,0.27876,1.73734,1.41563,1.07115,0.0005842,0.0005842,0.0005842
23,475.985,1.63819,1.09556,0.96486,0.61901,0.48555,0.51641,0.27583,1.73803,1.41025,1.07034,0.0005644,0.0005644,0.0005644
24,496.858,1.62245,1.06907,0.96939,0.58976,0.49133,0.51399,0.27197,1.74174,1.41261,1.06643,0.0005446,0.0005446,0.0005446
25,517.505,1.64222,1.08036,0.96422,0.63484,0.48555,0.52108,0.28448,1.74005,1.4072,1.06756,0.0005248,0.0005248,0.0005248
26,538.27,1.72543,1.11692,0.98288,0.63042,0.47977,0.52095,0.28204,1.74474,1.41629,1.0725,0.000505,0.000505,0.000505
27,560.105,1.65268,1.07664,0.96446,0.62586,0.47977,0.52545,0.28209,1.74509,1.42328,1.07205,0.0004852,0.0004852,0.0004852
28,582.602,1.56391,0.98564,0.96124,0.52928,0.54597,0.5197,0.28219,1.74415,1.42132,1.07204,0.0004654,0.0004654,0.0004654
29,603.211,1.6128,1.0431,0.96549,0.59478,0.49133,0.527,0.28263,1.74047,1.42348,1.07193,0.0004456,0.0004456,0.0004456
30,623.721,1.633,1.06134,0.96564,0.60715,0.48555,0.51279,0.2757,1.74124,1.42862,1.07215,0.0004258,0.0004258,0.0004258
31,644.257,1.58464,1.03146,0.97562,0.63303,0.47863,0.52574,0.28611,1.7419,1.42381,1.07349,0.000406,0.000406,0.000406
32,665.248,1.69801,1.0991,0.95221,0.63983,0.47977,0.51326,0.2784,1.74265,1.42014,1.07282,0.0003862,0.0003862,0.0003862
33,685.858,1.65886,1.06977,0.961,0.61856,0.47399,0.50628,0.27627,1.74692,1.42347,1.07166,0.0003664,0.0003664,0.0003664
34,706.566,1.6352,1.03185,0.96041,0.6059,0.50289,0.53321,0.28484,1.74162,1.41559,1.07151,0.0003466,0.0003466,0.0003466
35,727.273,1.55347,1.00423,0.94803,0.5939,0.50289,0.52778,0.28711,1.74254,1.41571,1.07192,0.0003268,0.0003268,0.0003268
36,747.901,1.68377,1.08299,0.94902,0.62674,0.48555,0.52693,0.28568,1.73344,1.40572,1.07044,0.000307,0.000307,0.000307
37,768.598,1.59742,1.05052,0.96997,0.59377,0.49711,0.52525,0.27888,1.73377,1.40367,1.06885,0.0002872,0.0002872,0.0002872
38,789.31,1.60121,1.02358,0.97496,0.69388,0.46821,0.52986,0.28064,1.72922,1.40351,1.06837,0.0002674,0.0002674,0.0002674
39,809.93,1.62846,1.05772,0.9453,0.69064,0.47747,0.53362,0.28526,1.73161,1.40726,1.06894,0.0002476,0.0002476,0.0002476
40,830.49,1.54656,0.99478,0.95873,0.599,0.48555,0.51209,0.28065,1.73901,1.41794,1.0688,0.0002278,0.0002278,0.0002278
41,850.567,1.68214,1.22758,0.98186,0.70098,0.43931,0.53034,0.27646,1.76744,1.47805,1.0776,0.000208,0.000208,0.000208
42,870.586,1.61832,1.12101,0.96513,0.62115,0.46243,0.51617,0.268,1.80116,1.54727,1.08271,0.0001882,0.0001882,0.0001882
43,890.461,1.59896,1.05561,0.9736,0.60735,0.46243,0.5123,0.26545,1.80101,1.51744,1.08572,0.0001684,0.0001684,0.0001684
44,910.311,1.54817,1.03395,0.95996,0.64791,0.45087,0.51767,0.2714,1.78481,1.48217,1.08127,0.0001486,0.0001486,0.0001486
45,930.295,1.61635,1.09122,0.95905,0.64851,0.46821,0.51742,0.27307,1.78221,1.45924,1.08191,0.0001288,0.0001288,0.0001288
46,950.184,1.54292,1.05107,0.96665,0.57953,0.47977,0.5248,0.27155,1.78169,1.44847,1.08396,0.000109,0.000109,0.000109
