epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8788,2.78581,2.41652,1.34529,0.38215,0.33965,0.26253,0.0967,2.32461,2.03346,1.20953,0.001625,0.001625,0.069125
2,29.6599,2.42613,1.8966,1.19216,0.41676,0.38728,0.31683,0.14562,2.06259,1.79687,1.13451,0.00312873,0.00312873,0.0372954
3,44.357,2.21502,1.73839,1.13023,0.47002,0.39884,0.36407,0.17218,1.96079,1.69889,1.12434,0.00446746,0.00446746,0.00530079
4,59.1614,2.0796,1.57905,1.08598,0.45913,0.45665,0.41869,0.20378,1.86406,1.64948,1.10806,0.0042575,0.0042575,0.0042575
5,73.8632,2.07043,1.50447,1.07901,0.52511,0.47937,0.45407,0.21268,1.89163,1.61443,1.11635,0.00401,0.00401,0.00401
6,88.6188,1.96049,1.48876,1.07054,0.59441,0.47399,0.47356,0.21508,1.88915,1.61047,1.10788,0.0037625,0.0037625,0.0037625
7,103.386,1.92396,1.4364,1.03129,0.65732,0.45665,0.50039,0.23607,1.8432,1.56224,1.09867,0.003515,0.003515,0.003515
8,118.114,1.94107,1.44012,1.05656,0.63228,0.48555,0.51598,0.25258,1.81102,1.55242,1.08527,0.0032675,0.0032675,0.0032675
9,132.824,1.88488,1.42312,1.03258,0.60189,0.49813,0.5141,0.25847,1.79996,1.50034,1.08389,0.00302,0.00302,0.00302
10,147.559,1.90187,1.35453,1.02027,0.61092,0.49011,0.50672,0.24572,1.84143,1.5177,1.07997,0.0027725,0.0027725,0.0027725
11,161.78,1.76164,1.39268,1.00902,0.61803,0.47977,0.49731,0.2514,1.83524,1.52693,1.07517,0.002525,0.002525,0.002525
12,175.937,1.72519,1.24617,1.0111,0.63819,0.49711,0.51479,0.2564,1.84223,1.51304,1.07745,0.0022775,0.0022775,0.0022775
13,190.121,1.76196,1.19981,1.019,0.63752,0.49133,0.5263,0.25868,1.84806,1.50314,1.08373,0.00203,0.00203,0.00203
14,204.44,1.72118,1.16337,0.98307,0.62181,0.4847,0.52071,0.26371,1.84212,1.49456,1.08581,0.0017825,0.0017825,0.0017825
15,218.788,1.64121,1.13453,0.99868,0.64935,0.47977,0.52178,0.26648,1.82823,1.49083,1.08467,0.001535,0.001535,0.001535
16,233.367,1.64425,1.10335,0.99473,0.64709,0.48555,0.53128,0.26422,1.81687,1.4883,1.08573,0.0012875,0.0012875,0.0012875
17,247.717,1.61553,1.14195,0.99267,0.63696,0.48555,0.53322,0.27105,1.81691,1.4797,1.08204,0.00104,0.00104,0.00104
18,262.19,1.6835,1.16124,0.98611,0.63185,0.48611,0.53088,0.2683,1.82159,1.47982,1.08333,0.0007925,0.0007925,0.0007925
19,276.693,1.65986,1.15087,1.00909,0.64101,0.48555,0.53325,0.26242,1.82753,1.47622,1.082,0.000545,0.000545,0.000545
20,291.442,1.62166,1.15511,1.00326,0.62004,0.48555,0.52631,0.26144,1.83121,1.48087,1.08291,0.0002975,0.0002975,0.0002975
