epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5576,1.94345,1.5343,1.06749,0.45187,0.43671,0.3923,0.1607,2.16572,1.55067,1.20028,0.000325,0.000325,0.067825
2,31.0097,2.0352,1.51251,1.07936,0.43338,0.43671,0.38046,0.1573,2.16222,1.57042,1.20209,0.000645298,0.000645298,0.034812
3,46.4012,1.93693,1.41821,1.05012,0.44551,0.43671,0.37695,0.16232,2.14964,1.55425,1.19377,0.000952397,0.000952397,0.00178573
4,61.654,1.99532,1.45899,1.05338,0.41145,0.44304,0.38291,0.16276,2.12957,1.54209,1.18147,0.0009406,0.0009406,0.0009406
5,77.1209,1.98699,1.39285,1.0293,0.44975,0.44304,0.38249,0.15883,2.13702,1.52408,1.17942,0.0009208,0.0009208,0.0009208
6,92.3793,2.03121,1.38119,1.05946,0.47872,0.43671,0.39194,0.15896,2.12642,1.49596,1.17286,0.000901,0.000901,0.000901
7,107.573,1.89399,1.36317,1.02322,0.47107,0.44304,0.40013,0.16377,2.11735,1.47929,1.17137,0.0008812,0.0008812,0.0008812
8,123.23,1.91381,1.34761,1.00483,0.45981,0.43671,0.39268,0.16197,2.12048,1.46461,1.17432,0.0008614,0.0008614,0.0008614
9,138.541,1.91942,1.38593,1.05877,0.45105,0.44304,0.39772,0.1678,2.11825,1.45376,1.17062,0.0008416,0.0008416,0.0008416
10,153.999,1.86273,1.31935,1.01324,0.44984,0.44304,0.39366,0.16631,2.10807,1.45737,1.16826,0.0008218,0.0008218,0.0008218
11,169.43,1.81918,1.31138,1.03116,0.46921,0.46835,0.40793,0.17205,2.09896,1.44971,1.16698,0.000802,0.000802,0.000802
12,184.55,1.95447,1.34924,1.03487,0.45651,0.46783,0.40997,0.17326,2.09013,1.45118,1.1682,0.0007822,0.0007822,0.0007822
13,200.159,1.90946,1.31133,1.04891,0.49046,0.46835,0.42372,0.17855,2.08867,1.44413,1.1684,0.0007624,0.0007624,0.0007624
14,215.615,1.82052,1.3004,1.00589,0.53086,0.46835,0.43828,0.18077,2.09243,1.44162,1.16524,0.0007426,0.0007426,0.0007426
15,231.083,1.84846,1.26037,1.00326,0.5532,0.47468,0.44519,0.18218,2.08938,1.44385,1.16971,0.0007228,0.0007228,0.0007228
16,246.54,1.8329,1.32523,1.03607,0.54033,0.4557,0.43877,0.18038,2.09416,1.4438,1.17438,0.000703,0.000703,0.000703
17,262.063,1.89631,1.27089,1.04066,0.52974,0.46835,0.44079,0.182,2.09287,1.44189,1.17468,0.0006832,0.0006832,0.0006832
18,277.566,1.89642,1.29093,0.99655,0.52644,0.47468,0.44129,0.18109,2.0914,1.42848,1.17255,0.0006634,0.0006634,0.0006634
19,293.237,1.88048,1.28628,1.00931,0.53327,0.46203,0.43641,0.17627,2.10495,1.41692,1.17109,0.0006436,0.0006436,0.0006436
20,308.587,1.82224,1.23812,1.00147,0.5393,0.46203,0.43846,0.17383,2.1022,1.41189,1.17206,0.0006238,0.0006238,0.0006238
21,323.987,1.85097,1.25502,0.99968,0.53288,0.46208,0.4375,0.17726,2.10183,1.40682,1.17557,0.000604,0.000604,0.000604
22,339.355,1.82057,1.20082,0.98441,0.51784,0.46835,0.43939,0.17716,2.10248,1.40092,1.17755,0.0005842,0.0005842,0.0005842
23,354.851,1.80084,1.18426,1.00516,0.52011,0.46835,0.43709,0.1775,2.11955,1.39979,1.18501,0.0005644,0.0005644,0.0005644
24,370.405,1.72867,1.20094,0.98264,0.48814,0.44937,0.42247,0.17637,2.1191,1.40942,1.17991,0.0005446,0.0005446,0.0005446
25,385.605,1.78066,1.26272,0.99232,0.52956,0.46203,0.43486,0.18126,2.11557,1.40503,1.18415,0.0005248,0.0005248,0.0005248
26,401.134,1.8488,1.24595,1.00683,0.53014,0.46203,0.44559,0.18432,2.11339,1.3988,1.18247,0.000505,0.000505,0.000505
27,416.502,1.77935,1.18314,0.99095,0.5452,0.43038,0.43868,0.18315,2.12034,1.4022,1.18392,0.0004852,0.0004852,0.0004852
