epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2124,3.03303,2.58492,1.49568,0.26122,0.21519,0.14683,0.05927,2.70865,2.22851,1.40429,0.001625,0.001625,0.069125
2,25.5175,2.61145,2.1026,1.24223,0.36712,0.26067,0.21404,0.07938,2.58587,1.94583,1.31096,0.00312873,0.00312873,0.0372954
3,37.7516,2.49563,1.95284,1.21178,0.40014,0.26582,0.24442,0.09976,2.48014,1.86301,1.26364,0.00446746,0.00446746,0.00530079
4,49.7655,2.32193,1.80883,1.14847,0.41153,0.29213,0.26921,0.10635,2.39089,1.8356,1.24013,0.0042575,0.0042575,0.0042575
5,61.8734,2.27967,1.76438,1.14643,0.30353,0.34755,0.28923,0.11627,2.30859,1.77841,1.21933,0.00401,0.00401,0.00401
6,74.0804,2.15523,1.66783,1.10802,0.2881,0.41139,0.30331,0.12428,2.24357,1.71635,1.20463,0.0037625,0.0037625,0.0037625
7,86.2633,2.12864,1.63508,1.11243,0.3835,0.37975,0.3261,0.13152,2.19958,1.63719,1.20511,0.003515,0.003515,0.003515
8,98.2655,2.11126,1.61732,1.13547,0.42946,0.37342,0.3518,0.13443,2.19294,1.61369,1.19025,0.0032675,0.0032675,0.0032675
9,110.239,2.09843,1.61499,1.09022,0.45823,0.38608,0.34897,0.12997,2.19094,1.63825,1.1877,0.00302,0.00302,0.00302
10,122.177,2.08903,1.56101,1.04992,0.46117,0.39241,0.34414,0.13075,2.21073,1.6583,1.17741,0.0027725,0.0027725,0.0027725
11,134.055,2.02448,1.52781,1.09545,0.39311,0.42405,0.33231,0.12905,2.21059,1.64592,1.16772,0.002525,0.002525,0.002525
12,145.778,1.98634,1.47122,1.0599,0.40591,0.37975,0.32357,0.12172,2.24663,1.65889,1.17943,0.0022775,0.0022775,0.0022775
13,157.176,1.9805,1.38139,1.06268,0.39123,0.44937,0.33527,0.1282,2.20972,1.63844,1.18497,0.00203,0.00203,0.00203
14,168.872,1.95282,1.40521,1.05016,0.39734,0.44304,0.3517,0.13357,2.21328,1.60938,1.18209,0.0017825,0.0017825,0.0017825
15,180.397,1.90146,1.32325,1.05997,0.45901,0.41139,0.36336,0.13849,2.2048,1.57932,1.18335,0.001535,0.001535,0.001535
16,192.158,1.82284,1.26484,1.03577,0.47619,0.41428,0.36316,0.13864,2.21671,1.58275,1.18027,0.0012875,0.0012875,0.0012875
17,203.737,1.75775,1.25929,1.02104,0.46907,0.41139,0.36491,0.13702,2.2192,1.58876,1.17528,0.00104,0.00104,0.00104
18,215.286,1.81132,1.29519,1.02613,0.46777,0.38938,0.35012,0.1358,2.22388,1.58766,1.1768,0.0007925,0.0007925,0.0007925
19,226.818,1.80637,1.26767,1.02168,0.39949,0.44304,0.3557,0.14158,2.20615,1.5795,1.17723,0.000545,0.000545,0.000545
20,238.472,1.86608,1.27799,1.04337,0.39728,0.43805,0.35301,0.14126,2.20256,1.57432,1.17751,0.0002975,0.0002975,0.0002975
