epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9667,1.76176,1.18105,1.02995,0.52702,0.38608,0.38883,0.16214,2.22809,1.47241,1.19916,0.00038,0.00038,0.00038
2,28.2588,1.84138,1.15838,0.99286,0.45776,0.43815,0.36517,0.1404,2.27174,1.60619,1.22989,0.000764556,0.000764556,0.000764556
3,42.0545,1.79269,1.12195,1.02937,0.51653,0.49367,0.42877,0.1592,2.29974,1.47338,1.26082,0.00113327,0.00113327,0.00113327
4,55.9344,1.78921,1.14989,1.02051,0.49416,0.39873,0.38656,0.15191,2.26294,1.55595,1.2356,0.00148615,0.00148615,0.00148615
5,69.8687,1.81043,1.14931,1.00334,0.43026,0.42405,0.3729,0.15117,2.27655,1.58149,1.28683,0.00182318,0.00182318,0.00182318
6,83.7572,1.8093,1.10892,1.02083,0.42188,0.47468,0.36348,0.15989,2.17269,1.64538,1.17428,0.001802,0.001802,0.001802
7,97.7898,1.79428,1.15312,0.99883,0.4176,0.43671,0.35758,0.16284,2.16915,1.65793,1.2104,0.0017624,0.0017624,0.0017624
8,111.767,1.80241,1.13391,1.00162,0.51147,0.44937,0.38251,0.18459,2.07902,1.55804,1.15882,0.0017228,0.0017228,0.0017228
9,125.826,1.67979,1.05839,0.98363,0.55883,0.47468,0.40888,0.18071,2.14954,1.49749,1.21637,0.0016832,0.0016832,0.0016832
10,139.822,1.75025,1.07696,0.96619,0.4283,0.46203,0.39221,0.16244,2.19873,1.64611,1.22836,0.0016436,0.0016436,0.0016436
11,153.871,1.76178,1.07301,1.01089,0.46126,0.41772,0.37572,0.15313,2.27113,1.6518,1.26999,0.001604,0.001604,0.001604
12,167.833,1.68395,1.0029,0.98597,0.5002,0.46203,0.40143,0.16069,2.23256,1.53702,1.25697,0.0015644,0.0015644,0.0015644
13,181.694,1.66906,1.01057,0.96634,0.45937,0.41772,0.36169,0.14921,2.21075,1.55154,1.22145,0.0015248,0.0015248,0.0015248
14,195.778,1.60788,0.95407,0.94989,0.47435,0.46203,0.39792,0.1645,2.1873,1.48573,1.21778,0.0014852,0.0014852,0.0014852
15,209.655,1.70284,0.99088,0.98824,0.49177,0.39241,0.39595,0.16689,2.19713,1.55437,1.24422,0.0014456,0.0014456,0.0014456
16,223.566,1.61563,0.97576,0.96925,0.55716,0.44304,0.41339,0.17849,2.15469,1.47962,1.20697,0.001406,0.001406,0.001406
17,237.396,1.63074,0.96318,0.94815,0.5486,0.41772,0.42115,0.17708,2.17559,1.45715,1.24618,0.0013664,0.0013664,0.0013664
18,251.192,1.58519,0.94271,0.94391,0.45538,0.48734,0.41083,0.16211,2.21102,1.45099,1.24426,0.0013268,0.0013268,0.0013268
19,265.193,1.57119,0.91016,0.94307,0.51565,0.4557,0.4185,0.16545,2.23049,1.48827,1.25192,0.0012872,0.0012872,0.0012872
20,278.982,1.49242,0.87569,0.92225,0.53796,0.4557,0.41011,0.164,2.23525,1.53211,1.31695,0.0012476,0.0012476,0.0012476
21,292.883,1.56703,0.87833,0.9343,0.55851,0.43671,0.41448,0.15866,2.24516,1.52362,1.27875,0.001208,0.001208,0.001208
22,306.774,1.5139,0.85438,0.9345,0.528,0.40506,0.37654,0.15692,2.20296,1.61718,1.2466,0.0011684,0.0011684,0.0011684
23,320.722,1.52411,0.8462,0.91855,0.48469,0.44649,0.38968,0.156,2.23552,1.60673,1.24821,0.0011288,0.0011288,0.0011288
