epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4812,2.61983,2.16523,1.26054,0.35716,0.34682,0.3034,0.13281,2.15315,1.92571,1.15651,0.001625,0.001625,0.069125
2,39.589,2.33531,1.78091,1.1655,0.47508,0.41618,0.39678,0.17588,2.00465,1.74635,1.10031,0.00312873,0.00312873,0.0372954
3,55.3266,2.11267,1.69776,1.11797,0.51607,0.46821,0.4605,0.2173,1.87928,1.58504,1.09315,0.00446746,0.00446746,0.00530079
4,71.2933,2.0027,1.50678,1.06042,0.57476,0.46821,0.50148,0.25477,1.7893,1.55425,1.07785,0.0042575,0.0042575,0.0042575
5,87.3007,1.9944,1.47812,1.06265,0.56745,0.52601,0.54135,0.26766,1.78529,1.48595,1.07176,0.00401,0.00401,0.00401
6,103.349,1.89324,1.43791,1.07286,0.56029,0.57225,0.55923,0.2779,1.76961,1.47369,1.08084,0.0037625,0.0037625,0.0037625
7,119.312,1.89226,1.4195,1.02138,0.5418,0.57225,0.56586,0.30566,1.69636,1.47357,1.06152,0.003515,0.003515,0.003515
8,135.377,1.89637,1.39231,1.04768,0.53734,0.57803,0.57644,0.31311,1.6694,1.46623,1.0531,0.0032675,0.0032675,0.0032675
9,151.373,1.83617,1.37025,1.02431,0.5952,0.60694,0.59255,0.31924,1.67806,1.43087,1.06137,0.00302,0.00302,0.00302
10,167.65,1.87468,1.29833,1.0129,0.6315,0.59435,0.60222,0.30632,1.71251,1.40211,1.05527,0.0027725,0.0027725,0.0027725
11,183.431,1.76435,1.3165,1.0162,0.57194,0.61785,0.61057,0.31888,1.65745,1.371,1.04942,0.002525,0.002525,0.002525
12,199.136,1.69253,1.21392,1.01811,0.54963,0.6185,0.60025,0.31576,1.68288,1.36817,1.05736,0.0022775,0.0022775,0.0022775
13,214.984,1.73702,1.20122,1.01368,0.56222,0.58382,0.59777,0.31926,1.67198,1.37501,1.06109,0.00203,0.00203,0.00203
14,230.695,1.67949,1.12023,0.99188,0.56475,0.60694,0.60028,0.32401,1.65552,1.37318,1.05416,0.0017825,0.0017825,0.0017825
15,246.47,1.59781,1.14342,1.00314,0.55489,0.62428,0.60798,0.32918,1.65316,1.38635,1.04871,0.001535,0.001535,0.001535
16,262.327,1.61263,1.08682,0.99878,0.57039,0.60694,0.60561,0.32638,1.66594,1.40207,1.05079,0.0012875,0.0012875,0.0012875
17,278.375,1.60182,1.1326,0.99894,0.5921,0.58382,0.61346,0.32319,1.68441,1.40235,1.05466,0.00104,0.00104,0.00104
18,294.407,1.63828,1.13828,0.98141,0.56365,0.63469,0.6114,0.33272,1.66766,1.39647,1.0547,0.0007925,0.0007925,0.0007925
19,310.487,1.5908,1.10919,0.98971,0.55476,0.61272,0.60785,0.33137,1.67056,1.39017,1.05481,0.000545,0.000545,0.000545
20,326.751,1.59274,1.09115,0.99651,0.56613,0.60116,0.61349,0.33117,1.67347,1.38801,1.05601,0.0002975,0.0002975,0.0002975
