epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9211,1.92079,1.53288,1.0601,0.39525,0.47468,0.38027,0.17328,2.06978,1.54338,1.12966,0.000325,0.000325,0.067825
2,27.8419,1.99932,1.5161,1.07193,0.40479,0.46835,0.38283,0.16632,2.07645,1.5373,1.13167,0.000645298,0.000645298,0.034812
3,41.8538,1.9364,1.44691,1.03671,0.48488,0.41139,0.37595,0.16744,2.08202,1.53175,1.12638,0.000952397,0.000952397,0.00178573
4,55.6707,1.98849,1.45766,1.04024,0.45667,0.41139,0.37775,0.1672,2.057,1.51329,1.11651,0.0009406,0.0009406,0.0009406
5,69.4599,1.98086,1.4057,1.01649,0.44311,0.41772,0.37384,0.1618,2.05902,1.50528,1.11414,0.0009208,0.0009208,0.0009208
6,83.2435,2.02812,1.38512,1.04078,0.46214,0.40243,0.37987,0.17151,2.02695,1.47579,1.10607,0.000901,0.000901,0.000901
7,97.0431,1.91204,1.37174,1.02594,0.43852,0.46835,0.38485,0.16947,2.01207,1.47591,1.10734,0.0008812,0.0008812,0.0008812
8,110.676,1.89515,1.34814,1.0013,0.53158,0.41139,0.41657,0.18158,2.00556,1.45293,1.10833,0.0008614,0.0008614,0.0008614
9,124.42,1.97387,1.45826,1.05986,0.5084,0.39241,0.40526,0.18221,2.00687,1.4481,1.1086,0.0008416,0.0008416,0.0008416
10,138.225,1.9315,1.34075,1.01617,0.54112,0.41139,0.41483,0.18598,1.99728,1.44687,1.1116,0.0008218,0.0008218,0.0008218
11,151.811,1.85118,1.35849,1.0366,0.56398,0.41139,0.40984,0.18635,1.97094,1.43434,1.10422,0.000802,0.000802,0.000802
12,165.439,2.01052,1.38214,1.03433,0.56036,0.39873,0.40959,0.18779,1.95947,1.40708,1.10074,0.0007822,0.0007822,0.0007822
13,178.929,1.94968,1.36667,1.0445,0.53489,0.40763,0.40466,0.18701,1.97711,1.42788,1.10272,0.0007624,0.0007624,0.0007624
14,192.58,1.85929,1.36739,0.99341,0.52013,0.41772,0.40639,0.18392,1.98861,1.43123,1.10862,0.0007426,0.0007426,0.0007426
15,206.26,1.89222,1.29954,1.00874,0.55249,0.3907,0.40439,0.18187,2.00403,1.42748,1.11283,0.0007228,0.0007228,0.0007228
16,219.956,1.86855,1.33199,1.02764,0.53896,0.40506,0.40267,0.18087,1.99351,1.42446,1.10783,0.000703,0.000703,0.000703
17,233.525,1.90733,1.31285,1.02826,0.5979,0.37975,0.4137,0.18526,1.9767,1.41857,1.10865,0.0006832,0.0006832,0.0006832
18,247.072,1.89032,1.31793,0.99309,0.54254,0.43671,0.41994,0.18762,1.97726,1.41784,1.10662,0.0006634,0.0006634,0.0006634
19,260.636,1.91406,1.30591,1.0108,0.52042,0.41139,0.40917,0.18536,1.97544,1.4132,1.10146,0.0006436,0.0006436,0.0006436
20,274.166,1.86427,1.25736,1.01617,0.53933,0.41772,0.41404,0.18907,1.97478,1.40651,1.10119,0.0006238,0.0006238,0.0006238
21,287.897,1.88732,1.2844,1.00674,0.53765,0.41216,0.42192,0.19299,1.96577,1.40985,1.09822,0.000604,0.000604,0.000604
22,301.567,1.82636,1.2484,0.97813,0.52489,0.41139,0.41161,0.19174,1.97858,1.40909,1.10197,0.0005842,0.0005842,0.0005842
23,315.215,1.86579,1.26037,1.01259,0.53619,0.41706,0.40977,0.19028,1.97341,1.40758,1.10171,0.0005644,0.0005644,0.0005644
24,328.851,1.76327,1.2341,0.99116,0.52848,0.41772,0.41248,0.18927,1.96865,1.40987,1.09957,0.0005446,0.0005446,0.0005446
25,342.447,1.84834,1.29862,1.00141,0.56265,0.41139,0.42323,0.192,1.97754,1.41414,1.10131,0.0005248,0.0005248,0.0005248
26,356.011,1.8811,1.28539,1.00007,0.53481,0.41139,0.42314,0.19383,1.98995,1.40649,1.10544,0.000505,0.000505,0.000505
27,369.749,1.80451,1.22271,0.99782,0.55589,0.43572,0.4327,0.1929,1.98993,1.40702,1.10324,0.0004852,0.0004852,0.0004852
28,383.417,1.83435,1.26512,0.9878,0.52793,0.41772,0.41784,0.19242,2.00113,1.41515,1.10338,0.0004654,0.0004654,0.0004654
29,397.213,1.84167,1.26866,0.97717,0.59419,0.41772,0.42949,0.19609,1.98659,1.41243,1.10101,0.0004456,0.0004456,0.0004456
30,410.876,1.75505,1.18735,0.9783,0.56728,0.41772,0.41745,0.19631,1.98189,1.40438,1.10313,0.0004258,0.0004258,0.0004258
31,424.559,1.73736,1.19229,0.9891,0.54852,0.41139,0.41449,0.19582,1.98988,1.40384,1.10492,0.000406,0.000406,0.000406
32,438.12,1.79135,1.20488,0.9804,0.56332,0.41139,0.41794,0.19836,2.00012,1.4077,1.10504,0.0003862,0.0003862,0.0003862
33,451.686,1.78527,1.21386,0.98869,0.58311,0.39241,0.41819,0.19454,1.99679,1.40442,1.1067,0.0003664,0.0003664,0.0003664
34,465.303,1.79977,1.27874,1.0021,0.57559,0.39241,0.42318,0.19427,2.0083,1.40972,1.10986,0.0003466,0.0003466,0.0003466
35,478.83,1.74611,1.2064,0.98694,0.56786,0.38608,0.4231,0.19512,1.9932,1.39821,1.10425,0.0003268,0.0003268,0.0003268
36,492.349,1.87182,1.26569,0.9983,0.58756,0.38608,0.42159,0.19437,1.99052,1.40403,1.1068,0.000307,0.000307,0.000307
37,505.895,1.82163,1.20293,0.97558,0.58364,0.38608,0.41973,0.19256,1.9952,1.40432,1.1078,0.0002872,0.0002872,0.0002872
38,519.375,1.79055,1.25154,1.00439,0.58636,0.39873,0.42419,0.1912,2.00129,1.4215,1.10656,0.0002674,0.0002674,0.0002674
39,532.936,1.7524,1.21076,0.99094,0.58757,0.41139,0.42844,0.19214,2.00376,1.41865,1.10426,0.0002476,0.0002476,0.0002476
