epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0511,3.00203,2.50647,1.43744,0.2992,0.24684,0.1902,0.07348,2.59094,2.1081,1.35108,0.001625,0.001625,0.069125
2,23.0801,2.6261,2.13921,1.23772,0.30762,0.32911,0.25222,0.10628,2.27347,1.86718,1.21737,0.00312873,0.00312873,0.0372954
3,34.1989,2.47721,1.96707,1.20025,0.34625,0.36709,0.2772,0.11487,2.18834,1.78151,1.18584,0.00446746,0.00446746,0.00530079
4,45.1253,2.32894,1.82064,1.14406,0.42595,0.39241,0.30734,0.13407,2.1009,1.72728,1.16409,0.0042575,0.0042575,0.0042575
5,56.3057,2.27506,1.77403,1.13376,0.45067,0.43671,0.35046,0.14795,2.06152,1.67146,1.15605,0.00401,0.00401,0.00401
6,67.36,2.18392,1.68124,1.10714,0.42121,0.41916,0.3638,0.16637,2.02859,1.60497,1.15217,0.0037625,0.0037625,0.0037625
7,78.4116,2.16438,1.6815,1.10047,0.39401,0.44304,0.36307,0.16552,2.03798,1.57451,1.14193,0.003515,0.003515,0.003515
8,89.3173,2.09879,1.69198,1.12298,0.40714,0.47468,0.38674,0.17199,2.00133,1.54004,1.1284,0.0032675,0.0032675,0.0032675
9,100.437,2.08575,1.5964,1.07421,0.39829,0.5,0.37886,0.16167,2.02513,1.53853,1.11285,0.00302,0.00302,0.00302
10,111.344,2.10613,1.61132,1.06658,0.38769,0.5,0.38593,0.15959,2.04166,1.54533,1.12257,0.0027725,0.0027725,0.0027725
11,122.006,2.04874,1.56364,1.0848,0.39244,0.43671,0.35071,0.1579,2.01642,1.54077,1.11145,0.002525,0.002525,0.002525
12,132.47,1.97766,1.52875,1.0497,0.44434,0.43038,0.37722,0.16507,1.99379,1.54771,1.10458,0.0022775,0.0022775,0.0022775
13,143.014,1.96168,1.44117,1.04995,0.40723,0.43671,0.36253,0.16244,1.99847,1.50526,1.12284,0.00203,0.00203,0.00203
14,153.472,1.94289,1.4246,1.03467,0.50096,0.40028,0.39052,0.17222,1.9953,1.50388,1.12247,0.0017825,0.0017825,0.0017825
15,164.07,1.89985,1.38409,1.03742,0.48129,0.37975,0.37908,0.17244,2.02059,1.50348,1.12067,0.001535,0.001535,0.001535
16,174.674,1.89293,1.35953,1.0377,0.50441,0.38006,0.38294,0.16689,1.99765,1.50662,1.11353,0.0012875,0.0012875,0.0012875
17,185.287,1.83703,1.34328,1.02806,0.47972,0.38608,0.3905,0.17177,2.01162,1.50409,1.11393,0.00104,0.00104,0.00104
18,196.271,1.88787,1.35485,1.03583,0.39054,0.49367,0.3886,0.17078,2.03904,1.51153,1.1173,0.0007925,0.0007925,0.0007925
19,206.915,1.83693,1.33195,1.01703,0.53422,0.38608,0.40081,0.17323,2.0327,1.50188,1.11545,0.000545,0.000545,0.000545
20,217.848,1.88834,1.35697,1.03641,0.52945,0.39168,0.38971,0.16828,2.00889,1.49926,1.11206,0.0002975,0.0002975,0.0002975
