epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65554,3.47968,2.86007,1.86426,0.15408,0.1028,0.03878,0.0099,3.37699,2.94797,1.67753,6e-05,6e-05,6e-05
2,6.81958,3.05773,2.54508,1.53947,0.1991,0.12617,0.05011,0.01336,3.28445,2.70793,1.6272,0.00013538,0.00013538,0.00013538
3,9.99737,3.09499,2.33219,1.54918,0.24107,0.16032,0.07725,0.0226,3.1239,2.41285,1.54168,0.00020548,0.00020548,0.00020548
4,13.6574,3.10219,2.07934,1.4471,0.2438,0.16822,0.08824,0.02801,2.96464,2.24255,1.4591,0.0002703,0.0002703,0.0002703
5,16.6667,3.07536,2.20613,1.22459,0.26076,0.18224,0.10376,0.0362,2.87482,2.19863,1.42642,0.00032984,0.00032984,0.00032984
6,20.6747,2.74622,1.98445,1.33352,0.27143,0.20561,0.12893,0.04229,2.78681,2.13508,1.38704,0.0003841,0.0003841,0.0003841
7,24.4938,2.21643,1.745,1.20815,0.28339,0.24299,0.15096,0.05328,2.71087,2.07982,1.35403,0.00043308,0.00043308,0.00043308
8,27.5252,2.19323,1.80661,1.20129,0.28029,0.27103,0.16187,0.05946,2.66132,2.06957,1.34235,0.00047678,0.00047678,0.00047678
9,31.3989,2.48725,1.91331,1.12762,0.31283,0.28972,0.18569,0.06576,2.61646,2.05599,1.33201,0.0005152,0.0005152,0.0005152
10,34.6073,2.13548,1.50251,1.12851,0.32739,0.28505,0.18923,0.06975,2.57691,2.02001,1.32092,0.00054834,0.00054834,0.00054834
11,40.108,2.48659,1.96789,1.18762,0.33453,0.28972,0.19701,0.07624,2.54984,2.01041,1.32911,0.0005762,0.0005762,0.0005762
12,43.9729,2.19164,1.60651,1.07461,0.34189,0.28505,0.20294,0.08036,2.52537,2.01052,1.33637,0.00059878,0.00059878,0.00059878
13,47.1001,1.98024,1.48099,1.05296,0.33821,0.28505,0.20296,0.08087,2.49385,2.00485,1.32228,0.00061608,0.00061608,0.00061608
14,51.8348,2.1373,1.50799,1.04394,0.34242,0.28037,0.2029,0.08291,2.49911,2.00913,1.33415,0.0006281,0.0006281,0.0006281
15,55.1818,1.9759,1.57887,1.11979,0.34841,0.28235,0.21116,0.08474,2.50059,2.0163,1.33622,0.00063484,0.00063484,0.00063484
16,59.62,2.19172,1.6447,1.11083,0.35539,0.28037,0.2136,0.08517,2.50159,2.01154,1.34054,0.0006363,0.0006363,0.0006363
17,63.4221,2.59985,2.4292,1.1982,0.35522,0.28037,0.2177,0.08564,2.49905,2.0286,1.33532,0.00063248,0.00063248,0.00063248
18,66.6137,1.87252,1.31934,1.00229,0.36244,0.30374,0.23348,0.09107,2.46472,2.05959,1.32589,0.00062338,0.00062338,0.00062338
19,70.3267,1.77371,1.19136,1.04382,0.35944,0.30416,0.24069,0.0935,2.46038,2.0762,1.31654,0.000609,0.000609,0.000609
20,73.56,1.91663,1.11856,0.92569,0.34928,0.30374,0.23443,0.09321,2.45902,2.07006,1.31134,0.00058934,0.00058934,0.00058934
21,76.9464,1.53629,1.17826,0.91961,0.34099,0.3095,0.23693,0.09226,2.48284,2.06761,1.31297,0.0005644,0.0005644,0.0005644
22,79.8162,1.25304,1.02671,0.74921,0.34694,0.30038,0.23431,0.08963,2.48941,2.06993,1.31248,0.00053418,0.00053418,0.00053418
23,82.6434,1.89196,1.3705,1.03418,0.36574,0.29641,0.23589,0.09017,2.48749,2.06973,1.30858,0.00049868,0.00049868,0.00049868
24,86.0461,1.53963,0.96895,0.98644,0.37002,0.28505,0.23842,0.08999,2.48915,2.06681,1.30964,0.0004579,0.0004579,0.0004579
25,89.0821,1.6695,1.0665,0.95085,0.37853,0.28462,0.23986,0.08995,2.48961,2.07584,1.31401,0.00041184,0.00041184,0.00041184
26,91.9958,1.85974,1.23671,0.9859,0.39515,0.2757,0.23967,0.09149,2.4855,2.08187,1.31693,0.00035,0.00035,0.00035
27,94.8946,1.47942,0.93702,0.90141,0.40198,0.2827,0.23894,0.09189,2.48267,2.0887,1.31438,0.000284,0.000284,0.000284
28,98.1069,1.64957,1.16264,1.04322,0.40627,0.29098,0.23885,0.09186,2.48172,2.09083,1.31147,0.000218,0.000218,0.000218
29,100.98,1.559,1.00325,0.94977,0.40074,0.2875,0.24015,0.09225,2.47603,2.0924,1.30582,0.000152,0.000152,0.000152
