epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7634,3.13003,2.55725,1.55915,0.35696,0.31373,0.23095,0.07022,2.70302,2.02268,1.19695,0.00038,0.00038,0.00038
2,21.0966,2.57251,1.98331,1.28347,0.46688,0.36601,0.33696,0.12979,2.33112,1.76566,1.11294,0.00074139,0.00074139,0.00074139
3,31.8584,2.23536,1.73712,1.20812,0.44472,0.46405,0.3864,0.14053,2.30166,1.75913,1.08982,0.00106318,0.00106318,0.00106318
4,42.064,2.21705,1.7009,1.17042,0.50036,0.39869,0.3799,0.14541,2.31309,1.82447,1.07892,0.00134537,0.00134537,0.00134537
5,52.3391,2.19218,1.64435,1.13863,0.43512,0.48332,0.40558,0.15002,2.33768,1.6949,1.06282,0.00158796,0.00158796,0.00158796
6,62.5383,2.13299,1.54701,1.11754,0.45259,0.47712,0.413,0.16649,2.27312,1.66539,1.05461,0.001505,0.001505,0.001505
7,72.7614,2.0672,1.44997,1.12852,0.48424,0.43791,0.42986,0.17405,2.19895,1.63133,1.04622,0.001406,0.001406,0.001406
8,83.7184,2.07164,1.43935,1.10627,0.54948,0.44642,0.44266,0.18205,2.15054,1.60816,1.04205,0.001307,0.001307,0.001307
9,93.9021,1.98312,1.3993,1.10489,0.51759,0.4183,0.41338,0.16971,2.18164,1.60459,1.03361,0.001208,0.001208,0.001208
10,104.147,1.97816,1.34905,1.0996,0.5141,0.40523,0.42036,0.17138,2.15699,1.62984,1.03459,0.001109,0.001109,0.001109
11,113.876,1.8436,1.27273,1.06349,0.45878,0.44444,0.43346,0.1781,2.19137,1.65355,1.04261,0.00101,0.00101,0.00101
12,123.601,1.79173,1.18628,1.06488,0.48162,0.47059,0.43765,0.18376,2.13714,1.6054,1.0522,0.000911,0.000911,0.000911
13,133.378,1.77576,1.15365,1.08915,0.46329,0.44444,0.42941,0.18011,2.18212,1.62573,1.07349,0.000812,0.000812,0.000812
14,143.041,1.76067,1.11009,1.04672,0.45338,0.47712,0.42541,0.17516,2.20333,1.62954,1.07856,0.000713,0.000713,0.000713
15,152.794,1.68093,1.05257,1.02526,0.44381,0.50068,0.42162,0.1732,2.20287,1.64223,1.07503,0.000614,0.000614,0.000614
16,162.493,1.67561,1.05916,1.03185,0.44161,0.50657,0.42242,0.17386,2.21943,1.67873,1.06859,0.000515,0.000515,0.000515
17,172.197,1.61894,1.01543,1.02153,0.46139,0.52288,0.43137,0.17554,2.24419,1.71811,1.07412,0.000416,0.000416,0.000416
18,181.841,1.70388,1.06963,1.03793,0.45705,0.47059,0.42933,0.17302,2.24457,1.73236,1.07406,0.000317,0.000317,0.000317
19,191.542,1.59534,0.9842,1.00582,0.46627,0.50248,0.42694,0.17499,2.23038,1.74768,1.06629,0.000218,0.000218,0.000218
20,201.093,1.61339,1.01535,1.01593,0.46505,0.50327,0.42642,0.17518,2.21768,1.75247,1.06166,0.000119,0.000119,0.000119
