epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1685,1.89253,1.32596,1.0728,0.54847,0.42759,0.44746,0.20043,2.15748,1.55185,1.13938,0.00038,0.00038,0.00038
2,26.2614,1.83804,1.21403,1.02055,0.49597,0.42759,0.43592,0.17998,2.25881,1.58587,1.14488,0.000764556,0.000764556,0.000764556
3,39.1307,1.83511,1.19625,1.07977,0.46499,0.42069,0.38048,0.15728,2.19896,1.59518,1.18272,0.00113327,0.00113327,0.00113327
4,51.8601,1.85789,1.23538,1.0591,0.53357,0.42069,0.41094,0.16815,2.23194,1.53078,1.13795,0.00148615,0.00148615,0.00148615
5,64.6317,1.88081,1.22343,1.05963,0.50978,0.37931,0.37318,0.14302,2.2038,1.63396,1.18346,0.00182318,0.00182318,0.00182318
6,77.4565,1.72177,1.21828,1.02867,0.42156,0.42722,0.33728,0.13896,2.24281,1.76556,1.22264,0.001802,0.001802,0.001802
7,90.2533,1.86332,1.17999,1.00793,0.46429,0.3931,0.3494,0.14393,2.23807,1.81019,1.20979,0.0017624,0.0017624,0.0017624
8,102.959,1.85911,1.17688,1.01761,0.36617,0.34483,0.29076,0.12585,2.258,1.89255,1.23059,0.0017228,0.0017228,0.0017228
9,115.736,1.73579,1.10105,1.01359,0.44159,0.37241,0.33271,0.14075,2.21395,1.75884,1.21415,0.0016832,0.0016832,0.0016832
10,128.781,1.76595,1.0448,1.0013,0.56681,0.37931,0.39949,0.1742,2.25315,1.64412,1.18863,0.0016436,0.0016436,0.0016436
11,141.456,1.78554,1.0623,0.98868,0.57653,0.34483,0.40319,0.1708,2.22387,1.61678,1.18013,0.001604,0.001604,0.001604
12,154.317,1.69065,1.04308,0.99382,0.6035,0.35172,0.38595,0.16196,2.22243,1.64055,1.22671,0.0015644,0.0015644,0.0015644
13,167.266,1.68159,1.03439,1.00713,0.57091,0.33793,0.3663,0.16255,2.23258,1.70072,1.19892,0.0015248,0.0015248,0.0015248
14,180.191,1.72623,1.02161,0.98305,0.54909,0.34433,0.34802,0.15534,2.18893,1.79958,1.17453,0.0014852,0.0014852,0.0014852
15,192.837,1.68377,0.99653,0.97399,0.41178,0.45517,0.39071,0.17042,2.11072,1.78236,1.12054,0.0014456,0.0014456,0.0014456
16,205.629,1.63319,0.99812,0.96074,0.51434,0.37241,0.36872,0.15855,2.17515,1.80795,1.1728,0.001406,0.001406,0.001406
