epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3754,3.10225,2.41534,1.45828,0.40239,0.28571,0.22403,0.07781,2.57265,1.94074,1.35024,0.00038,0.00038,0.00038
2,22.3362,2.58251,1.98905,1.23128,0.58035,0.30952,0.31774,0.12863,2.26915,1.77205,1.21234,0.00074139,0.00074139,0.00074139
3,33.2115,2.25823,1.76332,1.2396,0.55023,0.36905,0.36831,0.15596,2.11853,1.66679,1.17829,0.00106318,0.00106318,0.00106318
4,44.1393,2.1738,1.64168,1.14238,0.55634,0.3869,0.37788,0.16738,2.08585,1.66548,1.15179,0.00134537,0.00134537,0.00134537
5,55.1942,2.14116,1.5591,1.16258,0.53672,0.35119,0.35874,0.16132,2.052,1.62565,1.13635,0.00158796,0.00158796,0.00158796
6,65.9553,2.05052,1.48164,1.10612,0.57209,0.34524,0.3651,0.16977,2.00067,1.57249,1.13626,0.001505,0.001505,0.001505
7,76.8934,2.04871,1.51351,1.13734,0.58593,0.35119,0.39112,0.1806,1.98657,1.58017,1.11341,0.001406,0.001406,0.001406
8,87.6826,2.0321,1.44978,1.0965,0.62687,0.33333,0.36838,0.16282,2.02738,1.57743,1.11071,0.001307,0.001307,0.001307
9,98.369,1.87816,1.35667,1.05006,0.57585,0.36905,0.38945,0.18557,2.00812,1.58254,1.10875,0.001208,0.001208,0.001208
10,109.316,1.97634,1.29184,1.05727,0.63912,0.35119,0.39391,0.18667,2.03352,1.57082,1.11415,0.001109,0.001109,0.001109
11,119.977,1.88294,1.22169,1.05383,0.63295,0.35119,0.3857,0.18297,2.00483,1.55746,1.11674,0.00101,0.00101,0.00101
12,130.302,1.83577,1.21544,1.10327,0.53569,0.37085,0.36495,0.17116,2.02981,1.56291,1.13162,0.000911,0.000911,0.000911
13,140.717,1.76782,1.12191,1.03759,0.58389,0.3631,0.36939,0.16806,2.0522,1.58062,1.13465,0.000812,0.000812,0.000812
14,151.01,1.76809,1.108,1.00503,0.54827,0.36905,0.38965,0.17646,2.03993,1.57667,1.11933,0.000713,0.000713,0.000713
15,161.217,1.75223,1.06852,1.05045,0.64895,0.35714,0.39354,0.17847,2.04511,1.58106,1.12348,0.000614,0.000614,0.000614
16,171.601,1.69842,1.05152,1.00787,0.50942,0.3869,0.40138,0.17947,2.07188,1.58195,1.12021,0.000515,0.000515,0.000515
17,181.701,1.63288,1.02636,0.99034,0.48767,0.40476,0.39864,0.18341,2.04576,1.56897,1.11942,0.000416,0.000416,0.000416
18,192.034,1.67665,1.04497,1.02186,0.4976,0.3869,0.39886,0.17922,2.0497,1.57124,1.12174,0.000317,0.000317,0.000317
19,202.209,1.63935,0.99687,0.99332,0.64545,0.33929,0.40074,0.1818,2.04155,1.56622,1.11729,0.000218,0.000218,0.000218
20,212.543,1.60571,1.0028,1.00873,0.65235,0.33929,0.40279,0.18398,2.04349,1.56759,1.11614,0.000119,0.000119,0.000119
