epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0582,1.82146,1.22649,1.04182,0.46676,0.35014,0.35637,0.13884,2.30302,1.79129,1.29987,0.00038,0.00038,0.00038
2,28.4232,1.90795,1.18995,1.024,0.39116,0.3962,0.30994,0.12487,2.32311,1.87356,1.32243,0.000764556,0.000764556,0.000764556
3,42.2684,1.82138,1.19445,1.04273,0.34197,0.40556,0.3064,0.1266,2.31273,1.84218,1.30056,0.00113327,0.00113327,0.00113327
4,56.0724,1.88017,1.1613,1.01851,0.36674,0.41111,0.31918,0.12997,2.32389,1.92007,1.32809,0.00148615,0.00148615,0.00148615
5,70.0372,1.7408,1.14875,1.02953,0.3776,0.38761,0.31948,0.13009,2.29298,1.88302,1.31709,0.00182318,0.00182318,0.00182318
6,83.9228,1.74691,1.14089,1.00168,0.40431,0.39444,0.31118,0.12565,2.30352,1.84327,1.28662,0.001802,0.001802,0.001802
7,98.0644,1.80259,1.14342,0.99673,0.361,0.39444,0.28082,0.11156,2.39361,1.96714,1.30548,0.0017624,0.0017624,0.0017624
8,111.924,1.79667,1.13366,1.00155,0.42107,0.32222,0.27288,0.11662,2.29258,2.00694,1.27958,0.0017228,0.0017228,0.0017228
9,125.791,1.74903,1.10518,0.98904,0.36918,0.38889,0.27741,0.11056,2.28378,1.96815,1.30337,0.0016832,0.0016832,0.0016832
10,139.886,1.69462,1.04846,0.97129,0.4111,0.33889,0.29565,0.11923,2.29797,1.95271,1.30616,0.0016436,0.0016436,0.0016436
11,153.93,1.76461,1.0557,0.96381,0.36776,0.32222,0.27183,0.10503,2.35491,2.00523,1.33404,0.001604,0.001604,0.001604
12,168.006,1.73036,1.09691,0.97472,0.38716,0.38889,0.29337,0.11531,2.32019,1.93803,1.33162,0.0015644,0.0015644,0.0015644
13,181.98,1.7739,1.07296,0.96038,0.42051,0.40556,0.32614,0.12617,2.26757,1.89691,1.2693,0.0015248,0.0015248,0.0015248
14,196.147,1.71584,0.97735,0.97214,0.41366,0.40556,0.30915,0.12517,2.295,1.98068,1.31415,0.0014852,0.0014852,0.0014852
15,210.014,1.63845,0.9827,0.95324,0.44447,0.38889,0.30752,0.12766,2.28966,2.06045,1.28271,0.0014456,0.0014456,0.0014456
16,223.978,1.64437,1.02618,0.96772,0.38825,0.38333,0.29136,0.12378,2.30088,2.08776,1.3048,0.001406,0.001406,0.001406
